"symbol","company","weight","sector","shares_held"
"MET","MetLife Inc.",0.00271706100510273,"Financials",12462020
"AMT","American Tower Corporation",0.00269455617059097,"Real Estate",4897426
"COP","ConocoPhillips",0.00264887605963223,"Energy",14162892
"AIG","American International Group Inc.",0.00264867592771127,"Financials",10074158
"RAI","Reynolds American Inc.",0.00260043412816426,"Consumer Staples",9494437
"KHC","Kraft Heinz Company",0.0025375426720031,"Consumer Staples",6845649
"FDX","FedEx Corporation",0.00252590500079938,"Industrials",2811459
"DHR","Danaher Corporation",0.00249966770596174,"Health Care",6994595
"MON","Monsanto Company",0.00245796021363402,"Materials",5034703
"BLK","BlackRock Inc.",0.0024419596665534,"Financials",1388280
"BK","Bank of New York Mellon Corporation",0.00243918783944813,"Financials",11890596
"EOG","EOG Resources Inc.",0.0024258790667044,"Energy",6623429
"SCHW","Charles Schwab Corporation",0.00241861427797361,"Financials",13929123
"AET","Aetna Inc.",0.00240994856579612,"Health Care",3797851
"ANTM","Anthem Inc.",0.00240459503691048,"Health Care",3030817
"SPG","Simon Property Group Inc.",0.0023749655060126,"Real Estate",3582555
"SO","Southern Company",0.00236294758415905,"Utilities",11364091
"D","Dominion Energy Inc",0.00236018576364983,"Utilities",7216800
"CSX","CSX Corporation",0.00233235742004057,"Industrials",10618337
"RTN","Raytheon Company",0.00227235787013726,"Industrials",3354729
"AMAT","Applied Materials Inc.",0.00227059670923282,"Information Technology",12344099
"KMB","Kimberly-Clark Corporation",0.0022526949089031,"Consumer Staples",4081322
"GM","General Motors Company",0.00224803183514477,"Consumer Discretionary",15755586
"OXY","Occidental Petroleum Corporation",0.00219085414532698,"Energy",8734791
"ADP","Automatic Data Processing Inc.",0.00217555405996971,"Information Technology",5142192
"ITW","Illinois Tool Works Inc.",0.00217423318929139,"Industrials",3574929
"NOC","Northrop Grumman Corporation",0.00214921669917159,"Industrials",2001382
"TJX","TJX Companies Inc",0.0021330960729384,"Consumer Discretionary",7381164
"BDX","Becton Dickinson and Company",0.0021236998792494,"Health Care",2608453
"PRU","Prudential Financial Inc.",0.0021196271946579,"Financials",4915488
"SYK","Stryker Corporation",0.00209569141691129,"Health Care",3559578
"CI","Cigna Corporation",0.00207655880526767,"Health Care",2934616
"F","Ford Motor Company",0.00206686241369724,"Consumer Discretionary",44874776
"CME","CME Group Inc. Class A",0.00200866405108255,"Financials",3879039
"ATVI","Activision Blizzard Inc.",0.00199996831911691,"Information Technology",7931543
"MMC","Marsh & McLennan Companies Inc.",0.001924598637684,"Financials",5909768
"CTSH","Cognizant Technology Solutions Corporation Class A",0.00190006246417451,"Information Technology",6759191
"REGN","Regeneron Pharmaceuticals Inc.",0.00188176040000287,"Health Care",871877
"JCI","Johnson Controls International plc",0.00187059303881339,"Industrials",10721462
"DAL","Delta Air Lines Inc.",0.00185851507738356,"Industrials",8417934
"ESRX","Express Scripts Holding Company",0.00185316154849792,"Health Care",6810695
"BSX","Boston Scientific Corporation",0.00184192414113611,"Health Care",15711745
"ICE","Intercontinental Exchange Inc.",0.00183128712953718,"Financials",6828726
"COF","Capital One Financial Corporation",0.00183007633141538,"Financials",5516341
"EMR","Emerson Electric Co.",0.00182285156906878,"Industrials",7395520
"SPGI","S&P Global Inc.",0.00181300507855763,"Financials",2962287
"PX","Praxair Inc.",0.00180723127263798,"Materials",3261933
"LUV","Southwest Airlines Co.",0.00179238148410288,"Industrials",6938400
"CCI","Crown Castle International Corp",0.0017495332398257,"Real Estate",4200269
"DE","Deere & Company",0.00173285224421382,"Industrials",3360483
"KMI","Kinder Morgan Inc Class P",0.0017223853447477,"Energy",21971688
"HAL","Halliburton Company",0.0017209443949168,"Energy",9939783
"EBAY","eBay Inc.",0.00171919324060841,"Information Technology",11585086
"TRV","Travelers Companies Inc.",0.00170735543748373,"Financials",3205730
"PSX","Phillips 66",0.00170136148645102,"Energy",5080443
"MCK","McKesson Corporation",0.0016885130171255,"Health Care",2424095
