"symbol","Name","asset","weight","price","shares","market_value","notional_value","sector","sedol","isin","exchange"
"LNC","LINCOLN NATIONAL CORP","Equity",3e-04,38.43,1456523,55974178.89,55974178.89,"Financials","2516378","US5341871094","NYSE"
"REG","REGENCY CENTERS REIT CORP","Equity",3e-04,44.72,1246300,55734536,55734536,"Real Estate","2726177","US7588491032","NASDAQ"
"GL","GLOBE LIFE INC","Equity",3e-04,74,747069,55283106,55283106,"Financials","BK6YKG1","US37959E1029","NYSE"
"SNA","SNAP ON INC","Equity",3e-04,133.33,407153,54285709.49,54285709.49,"Industrials","2818740","US8330341012","NYSE"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity",3e-04,180.8,300174,54271459.2,54271459.2,"Industrials","B40SSC9","US4464131063","NYSE"
"WRK","WESTROCK","Equity",3e-04,27.64,1941861,53673038.04,53673038.04,"Materials","BYR0914","US96145D1054","NYSE"
"DVA","DAVITA INC","Equity",3e-04,79.95,670806,53630939.7,53630939.7,"Health Care","2898087","US23918K1088","NYSE"
"FANG","DIAMONDBACK ENERGY INC","Equity",3e-04,44.36,1195818,53046486.48,53046486.48,"Energy","B7Y8YR3","US25278X1090","NASDAQ"
"TXT","TEXTRON INC","Equity",3e-04,31.63,1664044,52633711.72,52633711.72,"Industrials","2885937","US8832031012","NYSE"
"PRGO","PERRIGO PLC","Equity",3e-04,51.22,1008335,51646918.7,51646918.7,"Health Care","BGH1M56","IE00BGH1M568","NYSE"
"TAP","MOLSON COORS BREWING CLASS B","Equity",3e-04,36.55,1383988,50584761.4,50584761.4,"Consumer Staples","B067BM3","US60871R2094","NYSE"
"LYV","LIVE NATION ENTERTAINMENT INC","Equity",3e-04,47.74,1052617,50251935.58,50251935.58,"Communication","B0T7YX2","US5380341090","NYSE"
"BWA","BORGWARNER INC","Equity",3e-04,32.66,1535983,50165204.78,50165204.78,"Consumer Discretionary","2111955","US0997241064","NYSE"
"DISCK","DISCOVERY INC SERIES C","Equity",3e-04,19.99,2494484,49864735.16,49864735.16,"Communication","B3D7KG4","US25470F3029","NASDAQ"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Equity",3e-04,17.06,2905509,49567983.54,49567983.54,"Communication","2466321","US4606901001","NYSE"
"AOS","A O SMITH CORP","Equity",3e-04,46.82,1023436,47917273.52,47917273.52,"Industrials","2816023","US8318652091","NYSE"
"AIZ","ASSURANT INC","Equity",3e-04,104.81,443607,46494449.67,46494449.67,"Financials","2331430","US04621X1081","NYSE"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity",2e-04,87.65,520932,45659689.8,45659689.8,"Real Estate","2333931","US3137472060","NYSE"
"RHI","ROBERT HALF","Equity",2e-04,51.11,885915,45279115.65,45279115.65,"Industrials","2110703","US7703231032","NYSE"
"PNR","PENTAIR","Equity",2e-04,36.86,1222719,45069422.34,45069422.34,"Industrials","BLS09M3","IE00BLS09M33","NYSE"
"VNO","VORNADO REALTY TRUST REIT","Equity",2e-04,38.86,1158366,45014102.76,45014102.76,"Real Estate","2933632","US9290421091","NYSE"
"CF","CF INDUSTRIES HOLDINGS INC","Equity",2e-04,28.14,1592960,44825894.4,44825894.4,"Materials","B0G4K50","US1252691001","NYSE"
"ROL","ROLLINS INC","Equity",2e-04,42.03,1055309,44354637.27,44354637.27,"Industrials","2747305","US7757111049","NYSE"
"AIV","APARTMENT INVESTMENT AND MANAGEMEN","Equity",2e-04,39,1126487,43932993,43932993,"Real Estate","BJLNBG3","US03748R7540","NYSE"
"BEN","FRANKLIN RESOURCES INC","Equity",2e-04,20.85,2104868,43886497.8,43886497.8,"Financials","2350684","US3546131018","NYSE"
"ZION","ZIONS BANCORPORATION","Equity",2e-04,33.67,1267690,42683122.3,42683122.3,"Financials","2989828","US9897011071","NASDAQ"
"NWL","NEWELL BRANDS INC","Equity",2e-04,14.88,2830530,42118286.4,42118286.4,"Consumer Discretionary","2635701","US6512291062","NASDAQ"
"MHK","MOHAWK INDUSTRIES INC","Equity",2e-04,95.97,432992,41554242.24,41554242.24,"Consumer Discretionary","2598699","US6081901042","NYSE"
"AAL","AMERICAN AIRLINES GROUP INC","Equity",2e-04,14.38,2843291,40886524.58,40886524.58,"Industrials","BCV7KT2","US02376R1023","NASDAQ"
"FLIR","FLIR SYSTEMS INC","Equity",2e-04,41.52,982259,40783393.68,40783393.68,"Information Technology","2344717","US3024451011","NASDAQ"
"IPGP","IPG PHOTONICS CORP","Equity",2e-04,155.73,260637,40589000.01,40589000.01,"Information Technology","2698782","US44980X1090","NASDAQ"
"CMA","COMERICA INC","Equity",2e-04,37.7,1072028,40415455.6,40415455.6,"Financials","2212870","US2003401070","NYSE"
"NLSN","NIELSEN HOLDINGS PLC","Equity",2e-04,15.09,2641613,39861940.17,39861940.17,"Industrials","BWFY550","GB00BWFY5505","NYSE"
"PWR","QUANTA SERVICES INC","Equity",2e-04,36.79,1081675,39794823.25,39794823.25,"Industrials","2150204","US74762E1029","NYSE"
"KIM","KIMCO REALTY REIT CORP","Equity",2e-04,12.55,3078461,38634685.55,38634685.55,"Real Estate","2491594","US49446R1095","NYSE"
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity",2e-04,11.66,3298984,38466153.44,38466153.44,"Financials","B1W41J2","US7127041058","NASDAQ"
"MRO","MARATHON OIL CORP","Equity",2e-04,6.26,6045989,37847891.14,37847891.14,"Energy","2910970","US5658491064","NYSE"
"NOV","NATIONAL OILWELL VARCO INC","Equity",2e-04,12.65,2929849,37062589.85,37062589.85,"Energy","2624486","US6370711011","NYSE"
"HWM","HOWMET AEROSPACE INC","Equity",2e-04,12.98,2802566,36377306.68,36377306.68,"Industrials","BKLJ8V2","US4432011082","NYSE"
"APA","APACHE CORP","Equity",2e-04,12.79,2797103,35774947.37,35774947.37,"Energy","2043962","US0374111054","NASDAQ"
"SEE","SEALED AIR CORP","Equity",2e-04,30.2,1176082,35517676.4,35517676.4,"Materials","2232793","US81211K1007","NYSE"
"DVN","DEVON ENERGY CORP","Equity",2e-04,12.2,2877960,35111112,35111112,"Energy","2480677","US25179M1036","NYSE"
"NBL","NOBLE ENERGY INC","Equity",2e-04,9.56,3600167,34417596.52,34417596.52,"Energy","2640761","US6550441058","NASDAQ"
"NWSA","NEWS CORP CLASS A","Equity",2e-04,11.41,2936213,33502190.33,33502190.33,"Communication","BBGVT40","US65249B1098","NASDAQ"
"LEG","LEGGETT & PLATT INC","Equity",2e-04,33.22,1000503,33236709.66,33236709.66,"Consumer Discretionary","2510682","US5246601075","NYSE"
"HFC","HOLLYFRONTIER CORP","Equity",2e-04,30.26,1091495,33028638.7,33028638.7,"Energy","B5VX1H6","US4361061082","NYSE"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Equity",2e-04,17.25,1845513,31835099.25,31835099.25,"Consumer Discretionary","B9CGTC3","BMG667211046","NYSE"
"MOS","MOSAIC","Equity",2e-04,12.51,2530667,31658644.17,31658644.17,"Materials","B3NPHP6","US61945C1036","NYSE"
"ALK","ALASKA AIR GROUP INC","Equity",2e-04,35.59,888303,31614703.77,31614703.77,"Industrials","2012605","US0116591092","NYSE"
"HBI","HANESBRANDS INC","Equity",2e-04,11.2,2757058,30879049.6,30879049.6,"Consumer Discretionary","B1BJSL9","US4103451021","NYSE"
"PVH","PVH CORP","Equity",2e-04,52.72,561187,29585778.64,29585778.64,"Consumer Discretionary","B3V9F12","US6936561009","NYSE"
"SLG","SL GREEN REALTY REIT CORP","Equity",2e-04,49.01,597575,29287150.75,29287150.75,"Real Estate","2096847","US78440X1019","NYSE"
"TPR","TAPESTRY INC","Equity",2e-04,14.12,2018771,28505046.52,28505046.52,"Consumer Discretionary","BF09HX3","US8760301072","NYSE"
"DXC","DXC TECHNOLOGY","Equity",1e-04,14.77,1885419,27847638.63,27847638.63,"Information Technology","BYXD7B3","US23355L1061","NYSE"
"RL","RALPH LAUREN CORP CLASS A","Equity",1e-04,74.03,369869,27381402.07,27381402.07,"Consumer Discretionary","B4V9661","US7512121010","NYSE"
"HOG","HARLEY DAVIDSON INC","Equity",1e-04,23.76,1142942,27156301.92,27156301.92,"Consumer Discretionary","2411053","US4128221086","NYSE"
"IVZ","INVESCO LTD","Equity",1e-04,9.82,2737362,26880894.84,26880894.84,"Financials","B28XP76","BMG491BT1088","NYSE"
"LB","L BRANDS INC","Equity",1e-04,15.48,1727518,26741978.64,26741978.64,"Consumer Discretionary","B9M2WX3","US5017971046","NYSE"
"FLS","FLOWSERVE CORP","Equity",1e-04,27,973454,26283258,26283258,"Industrials","2288406","US34354P1057","NYSE"
"DISCA","DISCOVERY INC SERIES A","Equity",1e-04,22.34,1141959,25511364.06,25511364.06,"Communication","B3D7K31","US25470F1049","NASDAQ"
