"x"
"AAPL"
"MSFT"
"AMZN"
"JNJ"
"FB"
"XOM"
"BRK.B"
"JPM"
"GOOGL"
"GOOG"
"GE"
"WFC"
"T"
"PG"
"BAC"
"PFE"
"CVX"
"CMCSA"
"PM"
"VZ"
"MRK"
"HD"
"UNH"
"V"
"C"
"KO"
"PEP"
"INTC"
"CSCO"
"ORCL"
"DIS"
"MO"
"IBM"
"MMM"
"AMGN"
"MCD"
"MDT"
"MA"
"ABBV"
"BA"
"WMT"
"CELG"
"HON"
"AVGO"
"BMY"
"PCLN"
"GILD"
"SLB"
"NVDA"
"UTX"
"UNP"
"SBUX"
"ABT"
"QCOM"
"AGN"
"LLY"
"USB"
"GS"
"TXN"
"CVS"
"TWX"
"ACN"
"UPS"
"ADBE"
"CHTR"
"DOW"
"DD"
"LMT"
"NKE"
"COST"
"MDLZ"
"TMO"
"NFLX"
"CB"
"CL"
"NEE"
"LOW"
"WBA"
"MS"
"AXP"
"CAT"
"PYPL"
"DUK"
"BIIB"
"CRM"
"PNC"
"GD"
"MET"
"AMT"
"COP"
"AIG"
"RAI"
"KHC"
"FDX"
"DHR"
"MON"
"BLK"
"BK"
"EOG"
"SCHW"
"AET"
"ANTM"
"SPG"
"SO"
"D"
"CSX"
"RTN"
"AMAT"
"KMB"
"GM"
"OXY"
"ADP"
"ITW"
"NOC"
"TJX"
"BDX"
"PRU"
"SYK"
"CI"
"F"
"CME"
"ATVI"
"MMC"
"CTSH"
"REGN"
"JCI"
"DAL"
"ESRX"
"BSX"
"ICE"
"COF"
"EMR"
"SPGI"
"PX"
"LUV"
"CCI"
"DE"
"KMI"
"HAL"
"EBAY"
"TRV"
"PSX"
"MCK"
"AEP"
"BBT"
"ISRG"
"PCG"
"AON"
"NSC"
"ETN"
"ECL"
"HUM"
"EA"
"INTU"
"EXC"
"EQIX"
"VRTX"
"MU"
"MAR"
"GIS"
"ALL"
"STZ"
"PSA"
"APD"
"AFL"
"STT"
"ZTS"
"PLD"
"HPQ"
"BAX"
"ADI"
"VLO"
"WM"
"SHW"
"FOXA"
"PPG"
"HCN"
"ALXN"
"TGT"
"SRE"
"HPE"
"FIS"
"TEL"
"GLW"
"CCL.U"
"WDC"
"ILMN"
"MPC"
"FISV"
"STI"
"AVB"
"PXD"
"LYB"
"PPL"
"EIX"
"ZBH"
"PGR"
"NWL"
"ED"
